Timestamp,Counts
2024-03-22 16:21:36,6
2024-03-22 16:21:46,0
2024-03-22 16:21:56,1
2024-03-22 16:22:06,2
2024-03-22 16:22:16,5
2024-03-22 16:22:26,4
2024-03-22 16:22:36,7
2024-03-22 16:22:46,0
2024-03-22 16:22:56,6
2024-03-22 16:23:06,3
2024-03-22 16:23:16,7
2024-03-22 16:24:24,2
2024-03-22 16:24:34,5
2024-03-22 16:24:44,7
2024-03-22 16:24:54,2
2024-03-22 16:25:04,3
2024-03-22 16:25:14,3
2024-03-22 16:25:24,4
2024-03-22 16:25:34,2
2024-03-22 16:25:44,0
2024-03-22 16:25:54,4
2024-03-22 16:26:04,2
