Time,PM1,PM2.5,PM10
1707526763.1624796,1,2,2
1707526764.1639612,1,2,2
1707526765.1653934,2,3,3
1707526766.1668243,2,2,2
1707526767.168278,2,2,2
1707526768.1699612,2,2,2
1707526769.1719184,2,2,2
1707526770.1739914,2,2,2
1707526771.176035,2,2,2
1707526772.1780944,1,1,1
1707526773.18003,1,1,1
1707526774.181965,1,1,1
1707526775.183895,0,0,0
1707526776.185841,1,1,1
1707526777.1877885,1,1,1
1707526778.1897378,1,1,1
1707526779.1917384,0,0,0
1707526780.193767,0,0,0
1707526781.1956966,0,0,0
1707526782.1976347,0,0,0
1707526783.199518,1,1,1
1707526784.2014136,1,1,1
1707526785.2034163,1,1,1
1707526786.205406,0,0,0
1707526787.207443,1,1,1
1707526788.2094505,1,1,1
1707526789.2113829,1,1,1
1707526790.2133665,1,1,1
1707526791.2153485,1,1,1
1707526792.2173595,1,1,1
1707526793.2193718,2,2,2
